,point_of_origin,nearest_point,distance_in_meter
234,POINT (28.99565 41.0764),POINT (28.9996767 41.07080525),704.5449309149802
235,POINT (28.98347 41.04525),POINT (28.9821093 41.0412067),421.91506305341386
236,POINT (28.98384 41.06195),POINT (28.98725545 41.06247485),381.9929760291927
237,POINT (28.99629 41.06184),POINT (28.9967448 41.0652149),332.6984991336288
238,POINT (28.9847 41.05207),POINT (28.9868253 41.0523695),237.3600713410358
239,POINT (28.9846 41.04735),POINT (28.98894300000007 41.05008799900003),550.3635491917826
240,POINT (28.98469 41.06146),POINT (28.9863997 41.05934910000001),279.68935674355225
241,POINT (28.98369000000001 41.04501),POINT (28.9821093 41.0412067),409.9706310896223
242,POINT (28.99324 41.05926),POINT (28.99561331400002 41.05553430600003),448.32724395418825
243,POINT (28.98641 41.0601),POINT (28.9863997 41.05934910000001),73.18535254953649
244,POINT (28.9947 41.06487),POINT (28.9967448 41.0652149),229.11515299731678
245,POINT (28.99795 41.06408),POINT (28.998253 41.065578),149.77967339117393
246,POINT (28.98462 41.0595),POINT (28.9863997 41.05934910000001),197.80138693581827
247,POINT (28.97959 41.04862),POINT (28.97870225 41.05463435),594.3503949126238
248,POINT (29.00357 41.12028),POINT (29.01134024300007 41.08607120700003),3442.4961962395246
249,POINT (28.99454 41.05968),POINT (28.99561331400002 41.05553430600003),421.12282704976116
250,POINT (28.98382 41.04794),POINT (28.9868253 41.0523695),545.2409238617242
251,POINT (28.98017 41.04869),POINT (28.97870225 41.05463435),601.7328994803776
252,POINT (29.00049000000001 41.05962),POINT (28.9995352 41.0557256),393.9462068277938
253,POINT (28.99691 41.05371),POINT (28.9971406 41.05509910000001),137.7481969656745
254,POINT (28.98591 41.06994),POINT (28.9839321 41.0685933),255.50349822760847
255,POINT (28.97267 41.05774),POINT (28.9736036 41.0620394),431.62408910748763
256,POINT (28.97983 41.04729),POINT (28.9821093 41.0412067),644.439214460654
257,POINT (28.99275 41.05071),POINT (28.993006 41.05005999999999),69.40452839955815
258,POINT (28.98209 41.04249),POINT (28.9821093 41.0412067),125.08318099279423
259,POINT (28.98356 41.05044),POINT (28.9868253 41.0523695),407.8442798323285
260,POINT (28.99068 41.05709),POINT (28.9892825 41.0616722),472.6295302372259
261,POINT (29.01163 41.06511),POINT (29.0084154 41.0687452),502.379625482793
262,POINT (29.00118 41.06384),POINT (29.0009039 41.06547929999999),162.6349921668875
263,POINT (28.98423 41.05545),POINT (28.9868253 41.0523695),415.7701370153292
264,POINT (28.98003 41.06415),POINT (28.9839321 41.0685933),612.0126629350713
265,POINT (28.98603 41.0489),POINT (28.98894300000007 41.05008799900003),342.9929094785511
266,POINT (28.98399 41.05632),POINT (28.9863997 41.05934910000001),398.08486261255774
267,POINT (28.98407000000001 41.06524),POINT (28.9839321 41.0685933),327.1494221047689
268,POINT (28.98715 41.06145),POINT (28.98725545 41.06247485),100.55410967896582
269,POINT (28.98711 41.04865),POINT (28.98894300000007 41.05008799900003),246.80345704186288
270,POINT (28.99027 41.05215),POINT (28.9910654 41.0517089),98.07948235334786
271,POINT (28.98307 41.05601),POINT (28.97870225 41.05463435),502.3227226599941
272,POINT (28.99535 41.06201),POINT (28.9967448 41.0652149),348.4632431192129
273,POINT (28.98557000000001 41.0492),POINT (28.9868253 41.0523695),338.763332885673
274,POINT (28.98366 41.05326),POINT (28.9868253 41.0523695),361.40159906965226
275,POINT (28.9834 41.04829),POINT (28.9868253 41.0523695),549.7120950766314
276,POINT (28.98447 41.04602),POINT (28.9821093 41.0412067),537.1169788306026
277,POINT (28.98243 41.04334),POINT (28.9821093 41.0412067),210.91855452814403
278,POINT (28.98677 41.05022),POINT (28.9868253 41.0523695),209.5611941788875
279,POINT (28.98442 41.04176),POINT (28.9821093 41.0412067),261.7224219948505
280,POINT (28.98236 41.04213),POINT (28.9821093 41.0412067),94.17333712990812
281,POINT (28.98186 41.04223),POINT (28.9821093 41.0412067),103.48365254064232
282,POINT (28.99766 41.07248),POINT (28.9996767 41.07080525),276.75363386840246
283,POINT (28.98101 41.04726),POINT (28.9821093 41.0412067),602.3824559936908
284,POINT (28.97964 41.04768),POINT (28.9821093 41.0412067),687.6755307718518
285,POINT (28.98139 41.04906),POINT (28.97870225 41.05463435),619.5786628819467
286,POINT (28.99114 41.05572),POINT (28.9910654 41.0517089),390.9581125264341
287,POINT (28.98376 41.04471),POINT (28.9821093 41.0412067),387.3452154271623
288,POINT (28.98563 41.04513),POINT (28.9821093 41.0412067),546.310770280459
289,POINT (28.98445 41.04466),POINT (28.9821093 41.0412067),424.9287064828392
290,POINT (28.99528 41.06154),POINT (28.9967448 41.0652149),393.1769132514146
291,POINT (28.99348 41.06465),POINT (28.9954953 41.0670708),324.86644273996177
292,POINT (28.99486 41.04781),POINT (28.993006 41.05005999999999),300.49388514376705
293,POINT (28.98519000000001 41.04196),POINT (28.9821093 41.0412067),349.2536125239932
294,POINT (29.00519 41.07527),POINT (29.00658198800005 41.06918643200004),612.4923099879626
295,POINT (28.99763 41.07093),POINT (28.9996767 41.07080525),227.17296207191507
296,POINT (28.98505 41.0481),POINT (28.98894300000007 41.05008799900003),472.97966056867205
297,POINT (28.98537 41.05085),POINT (28.9868253 41.0523695),218.96235835867873
298,POINT (28.98459 41.04181),POINT (28.9821093 41.0412067),281.1655269960428
299,POINT (28.9895 41.06307),POINT (28.9892473 41.0625182),60.62932944828421
300,POINT (28.99156 41.05457),POINT (28.9910654 41.0517089),284.14399756074545
301,POINT (28.96416 41.05462),POINT (28.9736036 41.0620394),1272.202652436346
302,POINT (28.98169 41.04819000000001),POINT (28.9868253 41.0523695),699.8985907715844
303,POINT (28.99289000000001 41.0564),POINT (28.99561331400002 41.05553430600003),313.40657248094897
304,POINT (28.98145 41.05156),POINT (28.97870225 41.05463435),427.22466296970964
305,POINT (28.99436 41.0531),POINT (28.9946951 41.0530658),37.290247680149164
306,POINT (28.9999 41.07355),POINT (28.9996767 41.07080525),268.588720035524
307,POINT (28.98628 41.06028),POINT (28.9863997 41.05934910000001),91.68278692808526
308,POINT (28.99065 41.05381),POINT (28.9910654 41.0517089),209.8596630509946
309,POINT (28.98513 41.04232),POINT (28.9821093 41.0412067),351.941624516728
310,POINT (28.99786 41.06042),POINT (28.9967448 41.0652149),483.29525056954793
311,POINT (28.98639 41.04309),POINT (28.9821093 41.0412067),508.71512873836355
312,POINT (28.99654 41.06853),POINT (28.997029 41.067248),136.1713549908262
313,POINT (28.99454 41.0674),POINT (28.9954953 41.0670708),110.63399547280683
314,POINT (28.98483 41.04875),POINT (28.9868253 41.0523695),416.32269121501054
315,POINT (28.98666 41.05445),POINT (28.9868253 41.0523695),203.57361397707285
316,POINT (28.99337 41.06349),POINT (28.9967448 41.0652149),410.07696012023666
317,POINT (28.99644 41.06948),POINT (28.997029 41.067248),227.07681120086653
318,POINT (28.98687 41.04881),POINT (28.98894300000007 41.05008799900003),261.34493483546044
319,POINT (28.98872 41.05252),POINT (28.9868253 41.0523695),210.51166009747627
320,POINT (28.99737 41.05021),POINT (29.0004588 41.0487174),371.961830540892
321,POINT (28.97857 41.06151),POINT (28.9736036 41.0620394),552.8656397390437
322,POINT (28.98185 41.05539),POINT (28.97870225 41.05463435),356.5700763877915
323,POINT (28.982 41.04199000000001),POINT (28.9821093 41.0412067),77.29234001689369
324,POINT (28.98472000000001 41.04219000000001),POINT (28.9821093 41.0412067),304.81303352393945
325,POINT (29.01119000000001 41.06852),POINT (29.0084154 41.0687452),308.30709180285356
326,POINT (28.97999 41.06092),POINT (28.97870225 41.05463435),628.9961439480604
327,POINT (28.9943 41.05398),POINT (28.9946951 41.0530658),99.26486429894676
328,POINT (28.97993 41.04456),POINT (28.9821093 41.0412067),406.3774361823014
329,POINT (28.99922 41.06847),POINT (29.0010341 41.0672759),232.30521500973035
