,point_of_origin,nearest_point,distance_in_meter
202,POINT (29.00388 41.05975),POINT (28.9995352 41.0557256),621.0175170434287
203,POINT (29.01729000000001 41.06286),POINT (29.016612 41.066644),376.2298229144406
204,POINT (28.99873 41.04333),POINT (29.0004588 41.0487174),558.8220960689612
205,POINT (29.00167 41.06093),POINT (29.0009039 41.06547929999999),451.3326677040151
206,POINT (29.00899 41.06013),POINT (29.0084154 41.0687452),841.7979118229089
207,POINT (29.0082 41.06021),POINT (29.0084154 41.0687452),831.936687202584
208,POINT (29.01463 41.09082),POINT (29.017713 41.0877267),455.6120790593652
209,POINT (29.02588 41.05122),POINT (29.016612 41.066644),1820.1585699581717
210,POINT (29.00262 41.04411),POINT (29.0004588 41.0487174),508.84160178665115
211,POINT (29.02741 41.07724),POINT (29.0253075 41.0777839),238.9805202468885
212,POINT (29.02589 41.05036),POINT (29.016612 41.066644),1890.515648737101
213,POINT (29.00369 41.04382),POINT (29.0004588 41.0487174),596.6298360678389
214,POINT (29.00973 41.04669000000001),POINT (29.0004588 41.0487174),1046.3960117422507
215,POINT (29.00146 41.04515),POINT (29.0004588 41.0487174),364.8836459761328
216,POINT (28.99948 41.04728),POINT (29.0004588 41.0487174),177.1600107925801
217,POINT (29.00405 41.04758),POINT (29.0004588 41.0487174),413.1740386453375
218,POINT (29.00207 41.04112),POINT (29.0004588 41.0487174),761.5083441373844
219,POINT (29.00391 41.04761),POINT (29.0004588 41.0487174),397.44387655178883
220,POINT (29.0274 41.05257),POINT (29.016612 41.066644),1819.2078095647446
221,POINT (29.02945 41.05247),POINT (29.016612 41.066644),1982.7441257162855
222,POINT (29.0284 41.05127),POINT (29.016612 41.066644),1987.4974307584368
223,POINT (29.02951 41.05381),POINT (29.016612 41.066644),1899.154600372146
224,POINT (29.02884 41.05254),POINT (29.016612 41.066644),1929.9389513004455
225,POINT (28.99817 41.04438),POINT (29.0004588 41.0487174),492.9236698244576
226,POINT (29.02807 41.05422),POINT (29.016612 41.066644),1754.3304658585007
227,POINT (29.02819 41.05351),POINT (29.016612 41.066644),1812.137998149843
228,POINT (29.00109 41.04746),POINT (29.0004588 41.0487174),141.08574205159493
229,POINT (29.00495 41.0657),POINT (29.00658198800005 41.06918643200004),384.8525213269559
230,POINT (29.00172 41.04695),POINT (29.0004588 41.0487174),221.80402926559302
231,POINT (28.99925 41.04596),POINT (29.0004588 41.0487174),300.23036342612124
232,POINT (29.01282 41.04655),POINT (29.0004588 41.0487174),1386.2437058963628
233,POINT (29.00528 41.06425),POINT (29.0009636 41.065532),494.4502097957746
234,POINT (29.00523 41.06458),POINT (29.0009636 41.065532),481.8819474487439
235,POINT (29.03766 41.06434),POINT (29.03654855 41.07449),996.2968260140854
236,POINT (29.0037 41.06436),POINT (29.0009636 41.065532),324.07742206626193
237,POINT (29.00523 41.0652),POINT (29.00658198800005 41.06918643200004),416.31495568582505
238,POINT (28.99856 41.04431),POINT (29.0004588 41.0487174),478.24915166561243
239,POINT (28.99824000000001 41.04625),POINT (29.0004588 41.0487174),343.91958242120336
240,POINT (29.01914 41.06281),POINT (29.016612 41.066644),466.9293210228567
241,POINT (29.0089 41.05532),POINT (29.0001178 41.0527306),1005.5483373382665
242,POINT (29.0121 41.04391),POINT (29.0004588 41.0487174),1372.65269707432
243,POINT (29.00227000000001 41.04539000000001),POINT (29.0004588 41.0487174),381.33130291804946
244,POINT (29.00431 41.04588),POINT (29.0004588 41.0487174),508.562233400439
245,POINT (29.04169000000001 41.07281),POINT (29.03654855 41.07449),592.8886084626274
246,POINT (29.00457 41.05641),POINT (28.9995352 41.0557256),562.0064679419406
247,POINT (29.00546 41.05219),POINT (29.0001178 41.0527306),594.4454020639347
248,POINT (29.02212 41.0532),POINT (29.016612 41.066644),1445.0156438496135
249,POINT (29.00923 41.04212),POINT (29.0004588 41.0487174),1165.4658993602964
250,POINT (29.02767 41.05139000000001),POINT (29.016612 41.066644),1926.240688362478
251,POINT (29.01128 41.04504),POINT (29.0004588 41.0487174),1251.7528827304468
252,POINT (29.04219 41.07037),POINT (29.03654855 41.07449),742.9745893844226
253,POINT (29.01418 41.04539000000001),POINT (29.0004588 41.0487174),1554.9724729342172
254,POINT (29.00384 41.04394),POINT (29.0004588 41.0487174),597.6028511879463
255,POINT (28.99942 41.04452),POINT (29.0004588 41.0487174),424.8875353994045
256,POINT (29.0052 41.04686),POINT (29.0004588 41.0487174),555.7857528943065
257,POINT (28.99951 41.04839000000001),POINT (29.0004588 41.0487174),109.89329463275023
